Primary Type,Description,FBI Code,CrimeTypeID
NARCOTICS,DEL CONT SUBS TO PERSON <18,18,232
OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,20,56
BATTERY,AGGRAVATED: OTHER DANG WEAPON,04B,58
INTERFERENCE WITH PUBLIC OFFICER,REFUSING TO AID AN OFFICER,24,371
NARCOTICS,POSS: BARBITUATES,18,115
BATTERY,AGGRAVATED OF A SENIOR CITIZEN,04B,138
CRIMINAL TRESPASS,TO VEHICLE,26,77
MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",07,226
PROSTITUTION,OTHER PROSTITUTION OFFENSE,16,256
BATTERY,DOMESTIC BATTERY SIMPLE,08B,1
ASSAULT,AGG PRO.EMP: OTHER FIREARM,04A,333
KIDNAPPING,KIDNAPPING,26,279
ARSON,BY FIRE,09,154
ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,04A,43
KIDNAPPING,UNLAWFUL RESTRAINT,26,127
DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,11,102
PUBLIC PEACE VIOLATION,SELL/ADVERTISE FIREWORKS,26,330
NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,18,109
DECEPTIVE PRACTICE,UNLAWFUL USE OF A COMPUTER,11,240
SEX OFFENSE,CRIMINAL SEXUAL ABUSE,17,40
DECEPTIVE PRACTICE,BOGUS CHECK,11,34
OTHER OFFENSE,OBSCENE TELEPHONE CALLS,17,195
ARSON,ATTEMPT ARSON,09,181
CRIMINAL DAMAGE,TO PROPERTY,14,16
ROBBERY,VEHICULAR HIJACKING,03,64
OTHER OFFENSE,INTERFERE W/ HIGHER EDUCATION,24,289
MOTOR VEHICLE THEFT,"ATTEMPT: CYCLE, SCOOTER, BIKE NO VIN",07,326
PROSTITUTION,PATRONIZE JUVENILE PROSTITUTE,16,362
CONCEALED CARRY LICENSE VIOLATION,OTHER,15,238
ROBBERY,STRONGARM - NO WEAPON,03,26
CRIMINAL DAMAGE,INSTITUTIONAL VANDALISM,14,234
NARCOTICS,FOUND SUSPECT NARCOTICS,18,73
OFFENSE INVOLVING CHILDREN,POS: PORNOGRAPHIC PRINT,16,337
MOTOR VEHICLE THEFT,AUTOMOBILE,07,10
DECEPTIVE PRACTICE,FORGERY,10,120
ROBBERY,ATTEMPT: AGGRAVATED,03,156
PUBLIC INDECENCY,LICENSED PREMISE,17,194
