Block,Location Description,Latitude,Longitude,X Coordinate,Y Coordinate,Community Area,Ward,District,Beat,LocationID
024XX S PULASKI RD,RESIDENCE PORCH/HALLWAY,41.8474839,-87.724641634,1150095.0,1887601.0,30,22,10,1013,645406
006XX S SACRAMENTO BLVD,STREET,41.873366239,-87.700999996,1156467.0,1897079.0,27,28,11,1134,369544
082XX S LAFLIN ST,RESIDENCE,41.744102179,-87.66085199,1167770.0,1850059.0,71,21,6,614,396034
0000X N LONG AVE,RESIDENCE,41.880869318,-87.760139277,1140342.0,1899700.0,25,28,15,1522,118191
031XX W WARREN BLVD,SIDEWALK,41.881903633,-87.705006655,1155353.0,1900182.0,27,28,12,1331,87914
117XX S LOOMIS ST,RESIDENCE,41.680403448,-87.656606587,1169111.0,1826857.0,53,34,5,524,21359
017XX W NORTH SHORE AVE,STREET,42.003481823,-87.67437106,1163355.0,1944548.0,1,49,24,2432,737068
022XX W JARVIS AVE,STREET,42.015601232,-87.686625068,1159991.0,1948939.0,2,49,24,2411,657913
027XX N AUSTIN AVE,RESIDENCE,41.929860332,-87.775922128,1135928.0,1917524.0,19,29,25,2512,731314
048XX N LAWNDALE AVE,RESIDENCE,41.969167128,-87.720719314,1150847.0,1931950.0,14,39,17,1712,661366
031XX W CERMAK RD,MEDICAL/DENTAL OFFICE,41.851776892,-87.704446364,1155586.0,1889205.0,30,24,10,1022,228925
044XX N FRANCISCO AVE,STREET,41.961708065,-87.700925146,1156250.0,1929271.0,14,33,17,1724,285269
0000X N KILBOURN AVE,GAS STATION,41.880912779,-87.737937109,1146388.0,1899757.0,26,28,11,1113,28574
081XX S MUSKEGON AVE,RESIDENCE PORCH/HALLWAY,41.747565692,-87.555240973,1196580.0,1851564.0,46,7,4,422,539363
046XX W SUNNYSIDE AVE,STREET,41.962597042,-87.743159437,1144761.0,1929513.0,16,45,17,1722,618672
024XX W 16TH ST,STREET,41.859347586,-87.687016152,1160314.0,1891999.0,31,28,10,1023,490285
027XX W CONGRESS PKWY,APARTMENT,41.87490098,-87.694680396,1158184.0,1897651.0,27,28,11,1135,320859
064XX S HALSTED ST,APARTMENT,41.776408458,-87.644698756,1172084.0,1861866.0,68,20,7,723,631359
033XX W PALMER ST,SIDEWALK,41.921013966,-87.710954164,1153630.0,1914422.0,22,26,14,1413,101493
028XX W FULLERTON AVE,APARTMENT,41.92480153,-87.698022986,1157139.0,1915828.0,22,35,14,1414,396684
012XX N CLEVELAND AVE,STREET,41.90405556,-87.641124713,1172684.0,1908388.0,8,27,18,1821,605923
032XX N CENTRAL PARK AVE,RESIDENCE-GARAGE,41.940044401,-87.717429205,1151818.0,1921344.0,21,35,17,1732,583625
0000X E 29TH ST,STREET,41.841963863,-87.625753192,1177055.0,1885796.0,35,2,1,133,492605
045XX N WOLCOTT AVE,STREET,41.964255101,-87.676080741,1163000.0,1930250.0,4,47,19,1912,543818
083XX S RACINE AVE,APARTMENT,41.742667712,-87.65352747,1169773.0,1849552.0,71,21,6,613,304687
053XX S HALSTED ST,ALLEY,41.797449391,-87.645236358,1171876.0,1869532.0,61,20,9,934,732417
049XX N KENTUCKY AVE,STREET,41.970039305,-87.742086852,1145034.0,1932227.0,14,39,17,1712,463388
051XX N LINCOLN AVE,CLEANING STORE,41.974244101,-87.69211122,1158613.0,1933857.0,4,40,20,2031,565985
031XX W 63RD ST,VACANT LOT/LAND,41.778994065,-87.701612657,1156553.0,1862689.0,66,15,8,823,708366
046XX N HERMITAGE AVE,OTHER,41.965702817,-87.672521229,1163964.0,1930785.0,3,47,19,1912,417313
026XX N KIMBALL AVE,OTHER,41.929519751,-87.712231212,1153260.0,1917519.0,22,35,14,1412,217316
013XX S WOLCOTT AVE,CONSTRUCTION SITE,41.863714915,-87.673715633,1163925.0,1893618.0,28,2,12,1233,464712
022XX W DEVON AVE,STREET,41.997784121,-87.686783425,1159997.0,1942446.0,2,50,24,2413,156874
018XX N LECLAIRE AVE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,41.914295854,-87.752822838,1142252.0,1911894.0,25,37,25,2533,615161
037XX N HALSTED ST,SIDEWALK,41.949984074,-87.649571972,1170251.0,1925106.0,6,46,19,1925,253440
005XX W 103RD PL,STREET,41.706083321,-87.6361405,1174626.0,1836259.0,49,34,22,2232,424220
009XX N DAMEN AVE,SIDEWALK,41.898383283,-87.677123948,1162900.0,1906244.0,24,32,12,1212,384202
088XX S COMMERCIAL AVE,ALLEY,41.734858023,-87.55137519,1197677.0,1846943.0,46,10,4,423,107275
0000X W 94TH ST,STREET,41.723534533,-87.625380003,1177512.0,1842642.0,49,21,6,634,60843
076XX S RIDGELAND AVE,STREET,41.756364975,-87.582204523,1189194.0,1854705.0,43,8,4,414,137761
050XX S CICERO AVE,STREET,41.801599322,-87.742988694,1145211.0,1870846.0,56,23,8,814,341936
024XX N CALIFORNIA AVE,STREET,41.925262004,-87.697426794,1157300.0,1915997.0,22,35,14,1414,331908
003XX W BELMONT AVE,ATM (AUTOMATIC TELLER MACHINE),41.940197873,-87.638999103,1173156.0,1921563.0,6,44,19,1934,756020
076XX N SHERIDAN RD,PARKING LOT/GARAGE(NON.RESID.),42.020625602,-87.666443648,1165461.0,1950812.0,1,49,24,2422,750877
074XX N WESTERN AVE,PARKING LOT/GARAGE(NON.RESID.),42.016249792,-87.690210095,1159015.0,1949168.0,2,49,24,2411,9957
063XX S DORCHESTER AVE,PARKING LOT/GARAGE(NON.RESID.),41.779930114,-87.591480454,1186589.0,1863270.0,42,20,3,314,173637
016XX W MORSE AVE,STREET,42.007822913,-87.670996377,1164260.0,1946137.0,1,49,24,2431,509844
044XX N SPAULDING AVE,STREET,41.962118368,-87.710723437,1153584.0,1929401.0,14,33,17,1724,461011
024XX W WILSON AVE,RESIDENCE-GARAGE,41.964850472,-87.689620523,1159316.0,1930439.0,4,47,19,1911,260955
008XX E 47TH PL,PARKING LOT/GARAGE(NON.RESID.),41.8086281,-87.606235923,1182476.0,1873693.0,39,4,2,223,724246
047XX S COTTAGE GROVE AVE,STREET,41.809305232,-87.606558389,1182386.0,1873939.0,38,4,2,223,108125
060XX S PRINCETON AVE,ALLEY,41.785186531,-87.632746831,1175318.0,1865091.0,68,20,7,711,577890
064XX S KEDVALE AVE,RESIDENCE-GARAGE,41.775963263,-87.726352233,1149813.0,1861536.0,65,13,8,813,216895
033XX S PRAIRIE AVE,SIDEWALK,41.833745867,-87.620600091,1178484.0,1882813.0,35,3,2,211,422489
030XX N SHERIDAN RD,PARK PROPERTY,41.937445461,-87.63945898,1173039.0,1920559.0,6,44,19,1934,612028
0000X N KEDZIE AVE,SIDEWALK,41.882176114,-87.70615706,1155039.0,1900279.0,27,28,11,1123,680046
017XX W JONQUIL TER,STREET,42.02117336,-87.673378777,1163575.0,1950997.0,1,49,24,2422,190420
011XX N LEAMINGTON AVE,POOL ROOM,41.901263827,-87.75452409,1141821.0,1907142.0,25,37,15,1531,691094
035XX S HALSTED ST,VACANT LOT/LAND,41.830229418,-87.646096257,1171546.0,1881475.0,60,11,9,925,95367
093XX S HARBOR AVE,STREET,41.725308767,-87.545886219,1199207.0,1843477.0,46,10,4,424,684604
021XX W SCHILLER ST,STREET,41.907076581,-87.680899594,1161848.0,1909404.0,24,32,14,1424,594717
069XX W 64TH PL,APARTMENT,41.774741287,-87.79443555,1131245.0,1860967.0,64,23,8,812,223236
007XX W CALIFORNIA TER,RESIDENCE,41.938479825,-87.648566524,1170558.0,1920916.0,6,44,19,1934,569012
050XX S RACINE AVE,ABANDONED BUILDING,41.802502555,-87.655084964,1169176.0,1871352.0,61,16,9,933,328758
003XX E 35TH ST,GAS STATION,41.831101673,-87.617716013,1179278.0,1881856.0,35,2,2,211,32131
095XX S BISHOP ST,RESIDENCE,41.720671436,-87.659015758,1168338.0,1841525.0,73,21,22,2213,175256
071XX S DOBSON AVE,STREET,41.765422985,-87.599473521,1184454.0,1857965.0,69,5,3,324,384443
012XX S WABASH AVE,SIDEWALK,41.866758579,-87.625813935,1176964.0,1894831.0,33,2,1,131,49305
021XX N HAMLIN AVE,RESIDENCE,41.919378691,-87.721732213,1150701.0,1913805.0,22,26,25,2525,48956
065XX S HALSTED ST,SMALL RETAIL STORE,41.775362708,-87.644669616,1172095.0,1861485.0,68,20,7,723,232911
016XX W 19TH ST,APARTMENT,41.855945802,-87.667511219,1165637.0,1890800.0,31,25,12,1234,419281
045XX N BERNARD ST,STREET,41.963392524,-87.714432028,1152572.0,1929858.0,14,33,17,1723,185796
062XX S DR MARTIN LUTHER KING JR DR,SIDEWALK,41.781389958,-87.615654844,1179991.0,1863746.0,42,20,3,313,206827
040XX N MILWAUKEE AVE,PARKING LOT/GARAGE(NON.RESID.),41.954838431,-87.749458817,1143067.0,1926674.0,15,45,16,1624,421404
032XX S LITUANICA AVE,SIDEWALK,41.83609551,-87.648660916,1170830.0,1883607.0,60,11,9,913,543805
030XX N CLARK ST,STREET,41.936778413,-87.648106932,1170688.0,1920297.0,6,44,19,1934,107702
009XX E MARQUETTE RD,STREET,41.77500179,-87.601816945,1183785.0,1861450.0,42,5,3,321,402264
014XX N CLEVELAND AVE,STREET,41.908288725,-87.64092836,1172725.0,1909931.0,8,27,18,1821,141396
055XX S DAMEN AVE,SIDEWALK,41.792877464,-87.674262736,1163974.0,1867804.0,67,15,7,715,423475
035XX W ARMITAGE AVE,SMALL RETAIL STORE,41.917315339,-87.714109522,1152781.0,1913068.0,22,26,14,1413,351804
085XX S SANGAMON ST,SIDEWALK,41.73886578,-87.647346044,1171471.0,1848180.0,71,21,6,613,400197
008XX N RICHMOND ST,RESIDENCE,41.896905834,-87.700404204,1156566.0,1905658.0,24,26,12,1211,611079
014XX N CLEAVER ST,"SCHOOL, PRIVATE, BUILDING",41.907736497,-87.663960909,1166457.0,1909680.0,24,1,14,1433,544127
044XX W BERTEAU AVE,FACTORY/MANUFACTURING BUILDING,41.957134902,-87.738680369,1145993.0,1927531.0,16,38,17,1722,269911
054XX S CALUMET AVE,STREET,41.796366956,-87.617644147,1179403.0,1869199.0,40,3,2,232,74250
016XX N LECLAIRE AVE,SIDEWALK,41.910228118,-87.752668657,1142304.0,1910412.0,25,37,25,2533,376291
003XX E WACKER DR,HOTEL/MOTEL,41.887812777,-87.620546628,1178335.0,1902515.0,32,42,1,114,398395
050XX W THOMAS ST,STREET,41.900461007,-87.751511917,1142643.0,1906855.0,25,37,15,1531,627202
032XX N OCTAVIA AVE,APARTMENT,41.938562523,-87.809186377,1126857.0,1920638.0,17,36,16,1631,475931
015XX W THOMAS ST,STREET,41.901533066,-87.667012112,1165644.0,1907413.0,24,27,12,1213,439670
019XX W LOYOLA AVE,APARTMENT,42.000330108,-87.679407015,1161995.0,1943389.0,2,50,24,2412,528310
023XX N MOODY AVE,STREET,41.922445401,-87.779319465,1135021.0,1914816.0,19,29,25,2512,227873
111XX S ARTESIAN AVE,STREET,41.690742171,-87.682401937,1162036.0,1830570.0,75,19,22,2212,280803
054XX W CORTEZ ST,SIDEWALK,41.899437615,-87.762489398,1139657.0,1906462.0,25,37,15,1524,757281
034XX W LAKE ST,SIDEWALK,41.884682793,-87.711927523,1153461.0,1901181.0,27,28,11,1123,575199
005XX N MILWAUKEE AVE,CTA PLATFORM,41.891437489,-87.647974731,1170856.0,1903775.0,24,27,12,1214,412503
076XX S VINCENNES AVE,VACANT LOT/LAND,41.755183333,-87.632776358,1175399.0,1854158.0,69,17,6,623,719808
117XX S WALLACE ST,STREET,41.68041084,-87.637168127,1174421.0,1826902.0,53,34,5,524,235862
087XX S PEORIA ST,RESIDENCE,41.735512861,-87.646073734,1171828.0,1846961.0,71,21,22,2222,176276
