IncidentID,Case Number,DateID,CrimeTypeID,LocationID,Arrest,Domestic,Location Description Encoded
9309995,HW454802,240325,35,405135,False,False,125
10003784,HY192579,385591,66,79800,True,False,125
9599440,HX250036,308618,158,486847,True,False,121
10569132,HZ317093,533823,3,702099,False,False,125
9212169,HW358334,217642,11,372031,False,False,17
9443022,HW587356,271829,6,445869,True,False,112
9615921,HX265758,312334,10,2293,True,False,101
9894325,HX544431,378934,1,155389,False,True,109
10021383,HY211001,388765,29,579289,False,False,111
10576508,HZ324062,536766,143,23601,False,False,125
9990506,HY180641,32118,22,3169,True,False,60
8487341,HV164332,50413,1,89617,False,True,122
10510137,HZ251706,309,11,510,False,False,17
9420619,HW564501,266395,39,439482,True,False,135
9100948,HW245464,191136,10,333298,True,False,125
8717735,HV394474,102486,32,192764,False,False,109
9226713,HW373554,214095,121,145944,False,False,44
8859007,HV532452,134353,22,1214,True,False,60
9578562,HX228744,303312,7,1704,False,False,19
10195292,HY382243,431958,4,20772,False,False,17
10379633,HZ115807,486038,101,667669,False,False,96
9289915,HW435074,235739,26,23557,False,False,121
10080066,HY268729,404361,76,386984,True,False,125
8587317,HV261588,73066,21,134541,False,False,125
10278267,HY466482,455730,16,643512,False,False,17
9285977,HW429852,234547,294,190708,False,False,109
9437994,HW582049,270496,5,444379,False,False,135
8921456,HV593263,148443,4,272283,False,False,121
9164452,HW309500,206105,21,165287,False,False,101
9683914,HX334608,327726,8,510817,False,False,99
10101723,HY290147,409596,29,13334,False,False,113
10721389,HZ480147,579613,39,739818,True,False,125
8815600,HV489261,124036,16,232573,False,False,113
8534853,HV211393,61415,11,111271,False,False,125
9003921,HW151248,168253,1,120656,False,True,17
9087994,HW233014,187823,10,329052,False,False,125
9672430,HX322294,325992,19,507243,False,False,109
10313141,HY502270,466068,39,651997,True,False,121
10405046,HZ141391,492662,76,658452,True,False,121
9177783,HW315430,209350,11,359596,False,False,110
9625105,HX275281,314760,1,110550,False,False,109
10107128,HY295297,410835,89,496773,False,False,54
10206093,HY393019,435206,1,345195,False,True,121
10642172,HZ393927,555598,29,720141,False,False,111
8814405,HV487930,124118,3,149258,False,False,17
9528463,HX182713,292117,4,467825,False,False,125
9165089,HW310436,206480,16,355481,False,False,109
9210691,HW356773,217316,13,371551,False,False,96
9038695,HW184907,176409,90,312570,False,False,125
10294014,HY481629,517609,17,690473,False,True,96
10468998,HZ207791,511913,8,41326,False,False,42
9634223,HX285685,317249,49,172828,False,False,125
8648821,HV323945,86995,1,161624,False,True,121
10430132,HZ167958,500508,21,338213,False,False,125
10232699,HY420666,442843,7,37448,False,False,17
10280521,HY468821,456369,32,644090,False,False,39
10541027,HZ286602,12038,16,19331,False,True,15
10015556,HY204926,388219,4,268814,False,False,17
9399722,HW542528,261110,27,236141,True,False,121
8788758,HV461030,117033,1,221759,False,True,109
9299214,HW443947,237862,4,401696,False,False,112
10076895,HY265508,515678,21,369039,False,False,101
10657695,HZ407489,559495,8,518856,False,False,125
8586621,HV260697,72896,107,134139,True,False,15
8959012,HW108029,157885,47,226022,False,False,51
10193828,HY380791,427679,29,622559,False,False,111
8944573,HV617114,154098,16,280878,False,False,109
8506722,HV183912,54547,8,98751,False,False,101
9680844,HX330858,327501,4,39116,False,False,129
10150247,HY339704,421474,76,410798,True,False,121
10251328,HY438861,447913,11,253473,False,False,17
9117789,HW262957,194684,20,339328,False,False,96
8663704,HV338912,90202,29,168311,False,False,91
9458564,HX111757,275407,39,33868,True,False,121
8668222,HV343532,91245,54,170205,False,True,17
8759764,HV434365,111662,27,22039,False,False,72
8433941,HV105842,36380,39,64315,True,False,121
9423755,HW566978,265805,32,50249,True,False,17
10284999,HY472772,457606,1,109947,False,True,110
10468147,HZ206984,512272,4,686527,False,False,125
10484755,HZ224544,437327,23,425767,False,False,109
10399242,HZ136093,490653,152,670872,True,False,125
9598753,HX248971,308433,44,486634,True,False,112
8616785,HV290420,79596,55,94628,False,True,17
8421701,HV100218,35201,1,58788,False,True,17
9081877,HW226544,186596,16,326845,False,True,109
9803450,HX452321,357412,16,544911,True,False,109
8749837,HV424835,109424,106,205812,True,False,110
9836128,HX485813,365516,16,553762,False,False,46
10504408,HZ245287,525081,24,302502,False,False,101
8614146,HV287969,78938,32,145991,False,False,109
10295970,HY483906,460539,19,568678,False,False,109
8912869,HV585917,146629,8,269747,False,False,135
9145397,HW290830,201871,12,94603,False,True,125
9325078,HW468432,243543,11,409730,False,False,125
10566968,HZ314984,534015,8,429466,False,False,125
9288671,HW433498,233517,8,398071,False,False,112
8824504,HV497627,126322,39,128000,True,False,125
10598776,HZ349919,544261,36,95104,False,False,50
8769466,HV366277,95116,1,115193,False,True,109
10306809,HY494894,463867,8,650389,False,False,112
9921544,HY110815,15467,16,24799,False,False,91
8485829,HV162470,49880,39,88633,True,False,15
10382404,HZ118747,486283,19,668360,False,False,96
9678474,HX328434,327392,16,110426,True,False,109
8861536,HV535073,131266,10,250264,False,False,96
10433762,HZ171509,501438,7,66439,False,False,109
10085251,HY274291,405732,16,595518,False,False,122
8567183,HV242088,68607,4,125640,False,False,125
8793007,HV466124,118967,22,223443,False,False,122
10757945,HZ521169,589761,8,748129,False,True,125
9840866,HX489897,366294,19,4691,False,True,109
9772907,HX423507,349769,11,536779,False,False,17
8440578,HV118565,39312,11,9309,True,True,32
10470084,HZ208976,512979,35,10453,False,False,101
10414252,HZ151318,520645,4,2319,True,False,7
10339413,HY530229,474133,3,524627,False,False,17
8429827,HV108087,36852,26,62260,False,False,121
10575981,HZ323946,535796,7,701162,False,False,111
10333174,HY523854,472187,76,561219,True,False,54
9115958,HW260862,194847,7,81824,True,False,72
8577436,HV251699,70827,16,2656,False,False,101
9547112,HX199454,295893,21,462372,False,False,125
9996424,HY186621,33594,27,8014,True,False,72
9035377,HW182253,175767,4,51728,True,True,125
8687693,HV362960,95636,1,178914,False,True,125
8947662,HV619437,151916,22,3169,True,False,60
9442746,HW586986,271723,47,355402,False,False,121
9123323,HW267853,195928,1,288997,False,True,17
10233146,HY421190,443104,1,632709,False,True,109
9101608,HW245702,191252,16,333464,False,True,17
10407132,HZ144178,493859,22,5344,True,False,122
10690631,HZ444923,569857,93,215186,True,False,121
9348769,HW492609,249322,11,170955,False,False,109
9458204,HX111173,275281,1,449559,False,True,17
9615457,HX264549,311298,29,491110,False,False,127
9616977,HX267101,312812,16,491708,False,False,109
8852401,HV525411,132662,26,246441,False,False,125
8490272,HV167604,51202,1,91223,False,True,135
9549066,HX199712,296451,59,97560,False,False,17
9898463,HX548647,380534,5,569393,False,False,125
10701955,HZ457804,573199,8,12793,False,False,125
9814515,HX463676,360140,7,29322,False,False,113
9214633,HW360948,218233,1,146530,False,True,109
10467015,HZ206170,512055,16,255074,False,True,109
8590668,HV264933,73791,16,136121,False,False,109
9186007,HW330984,211295,1,362557,True,True,17
9490921,HX145239,283289,37,104911,False,False,17
10489188,HZ230054,490572,13,671470,False,False,17
10805376,JA104492,605133,21,759089,False,False,101
10362566,HY554385,481370,1,359020,False,True,125
10618692,HZ371876,550267,4,22034,True,False,72
9046060,HW191219,177954,6,309242,True,False,125
9476736,HX130303,279895,4,390205,False,True,125
21150,HW520740,521929,42,692535,False,False,125
10758092,HZ521352,590729,43,413238,False,False,125
9969830,HY159487,26705,4,45259,False,False,125
10736003,HZ495890,583839,55,184338,True,True,32
8833419,HV505658,123510,3,102782,False,False,121
10643582,HZ385191,555291,121,21419,False,False,57
9805125,HX447124,356143,10,545259,False,False,125
9915063,HY104695,14093,4,22542,False,False,110
10232700,HY420602,442900,27,92549,True,True,112
9462504,HX115294,271231,4,289969,False,False,109
9090445,HW234998,188624,3,38325,False,False,119
9668814,HX318807,325118,39,398187,True,False,121
8871013,HV544662,137142,16,253999,True,False,0
10756206,HZ518913,590118,11,6788,False,False,119
8538168,HV214930,62171,21,112974,False,False,125
9384033,HW527208,257436,90,7892,True,False,56
9170695,HW315300,170101,32,194652,False,False,109
8938563,HV610023,149224,10,278373,False,False,112
